"EmpNum";"Type";"First Name";"Last Name";"Birth Date"
"12";"Employee";"Jenny";"Morris";"1948-09-18"
"";"Son";"Stan";"Morris";"1969-05-13"
"";"Spouse";"Robert";"Morris";"1948-09-18"
"5";"Employee";"Kelley";"Bradford";"1950-12-04"
"";"Son";"Jason";"Bradford";"1975-06-18"
"";"Spouse";"Ken";"Bradford";"1950-12-04"
"27";"Employee";"Ronald";"Meader";"1955-01-01"
"";"Daughter";"Margo";"Meader";"1987-09-18"
"10";"Employee";"Andy";"Davis";"1955-09-09"
"";"Son";"Mark";"Davis";"1985-01-27"
"";"Spouse";"Amy";"Davis";"1955-09-09"
"14";"Employee";"Marcy";"Adams";"1958-09-29"
"";"Spouse";"Douge";"Adams";"1958-09-29"
"38";"Employee";"Harold";"Tedford";"1959-12-07"
"";"Son";"Ron";"Tedford";"1990-01-28"
"3";"Employee";"Justine";"Smith";"1960-01-08"
"";"Daughter";"Kelly";"Smith";"1993-08-18"
"";"Son";"Sam";"Smith";"1990-05-18"
"";"Spouse";"Mark";"Smith";"1960-01-08"
"8";"Employee";"Dave";"Kelley";"1960-03-18"
"";"Daughter";"Kathy";"Kelly";"1995-09-18"
"";"Spouse";"Mary";"Kelley";"1960-03-18"
"20";"Employee";"Dan";"Flanagan";"1960-09-09"
"";"Dauhter";"Zoe";"Flanagan";"1992-01-21"
"";"Spouse";"Kate";"Flanagan";"1960-09-09"
"33";"Employee";"Scott";"Shay";"1960-09-18"
"";"Son";"Matthew";"Shay";"1992-01-28"
"";"Son";"Scott";"Shay";"1990-08-14"
"35";"Employee";"Alycia";"Snyder";"1960-12-09"
"";"Daughter";"Shelby";"Snyder";"1992-02-12"
"15";"Employee";"Alex";"Simons";"1961-09-08"
"";"Daughter";"Alex";"Simon";"1990-09-17"
"";"Spouse";"Shelly";"Simons";"1961-09-08"
"32";"Employee";"Carl";"Shultz";"1961-09-09"
"";"Daughter";"Mary";"Shultz";"1992-12-09"
"";"Son";"Ben";"Shultz";"1990-01-20"
"21";"Employee";"John";"Burton";"1961-09-09"
"";"Son";"Sam";"Burton";"1998-09-12"
"";"Daughter";"Laura";"Burton";"1996-09-12"
"";"Spouse";"Lisa";"Burton";"1961-09-09"
"17";"Employee";"Larry";"Barry";"1962-08-07"
"";"Son";"Harry";"Barry";"1992-09-18"
"";"Daughter";"Linda";"Barry";"1990-08-12"
"";"Spouse";"Clara";"Barry";"1962-08-07"
"30";"Employee";"Sabrina";"Raymond";"1962-12-09"
"";"Son";"Ken";"Raymond";"1990-09-12"
"";"Son";"Mark";"Raymond";"1990-09-12"
"16";"Employee";"Holly";"Atkins";"1963-09-09"
"";"Spouse";"Philip";"Atkins";"1981-09-09"
"28";"Employee";"Karen";"Parker";"1963-10-09"
"";"Son";"Andy";"Parker";"2008-10-02"
"39";"Employee";"Keith";"Valentino";"1964-09-18"
"";"Daughter";"Sandy";"Valentino";"2013-02-21"
"4";"Employee";"Andrew";"Shaw";"1965-09-26"
"";"Daughter";"Jenny";"Shaw";"2015-09-19"
"";"Son";"Sam";"Shaw";"2013-03-16"
"";"Spouse";"Sue";"Shaw";"1983-09-26"
"25";"Employee";"Rob";"Davis";"1965-10-03"
"";"Son";"Rodger";"Davis";"2015-02-21"
"";"Daughter";"Megan";"Davis";"2013-10-02"
"2";"Employee";"Anita";"Andrews";"1965-12-12"
"";"Son";"Bill";"Andrews";"2008-12-21"
"";"Spouse";"Sam";"Andrews";"1981-05-07"
"22";"Employee";"Lisa";"Green";"1966-03-09"
"";"Son";"Martin";"Green";"2014-09-12"
"";"Spouse";"John";"Green";"1984-03-09"
"19";"Employee";"Larry";"Dawsen";"1966-09-09"
"";"Spouse";"Barbra";"Dawsen";"1984-09-09"
"18";"Employee";"Jean";"Brady";"1966-11-12"
"";"Daughter";"Jean";"Brady";"2015-09-17"
"";"Spouse";"Mark";"Brady";"1984-11-12"
"13";"Employee";"Luke";"Sanders";"1967-09-09"
"";"Daughter";"Ellen";"Sanders";"2015-09-17"
"";"Spouse";"Karen";"Sanders";"1985-09-09"
"1";"Employee";"Kelly";"Koberlein";"1968-10-28"
"";"Daughter";"Jenny";"Koberlein";"2016-01-15"
"";"Spouse";"Ken";"Koberlein";"1983-12-07"
"9";"Employee";"Mark";"Wilson";"1970-04-05"
"";"Daughter";"Mary";"Wilson";"2013-08-18"
"";"Spouse";"Sandra";"Wilson";"1988-04-05"
"7";"Employee";"Katherine";"Weiss";"1970-07-03"
"";"Son";"Ken";"Weiss";"2013-08-05"
"11";"Employee";"Frank";"Garsen";"1970-09-09"
"";"Spouse";"Gretta";"Garsen";"1988-09-09"
"6";"Employee";"Frank";"Petersen";"1975-01-09"
"";"Son";"Jack";"Petersen";"2016-08-17"
"";"Spouse";"Fran";"Petersen";"1993-01-09"
